id,treaty,national_instrument,txt_file,expected_file,fail_case
"TC-001","Paris Agreement (2015)","National Environment Conservation Act, 1995 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-001_paris-agreement-2015-vs-national-environment-conse_treaty.txt","treaty-checker/expected/TC-001_expected.json",false
"TC-002","Paris Agreement (2015)","National Climate Change Strategy and Action Plan, 2009 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-002_paris-agreement-2015-vs-national-climate-change-st_treaty.txt","treaty-checker/expected/TC-002_expected.json",false
"TC-003","Paris Agreement (2015)","Children Protection Act, 2013 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-003_paris-agreement-2015-vs-children-protection-act-20_treaty.txt","treaty-checker/expected/TC-003_expected.json",false
"TC-004","Paris Agreement (2015)","National Labour Act, 2006 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-004_paris-agreement-2015-vs-national-labour-act-2006-s_treaty.txt","treaty-checker/expected/TC-004_expected.json",false
"TC-005","Paris Agreement (2015)","Anti-Corruption Commission Act, 2004 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-005_paris-agreement-2015-vs-anti-corruption-commission_treaty.txt","treaty-checker/expected/TC-005_expected.json",false
"TC-006","Paris Agreement (2015)","Women and Children Protection Act, 2000 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-006_paris-agreement-2015-vs-women-and-children-protect_treaty.txt","treaty-checker/expected/TC-006_expected.json",false
"TC-007","Paris Agreement (2015)","Foreign Exchange Regulation Act, 1947 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-007_paris-agreement-2015-vs-foreign-exchange-regulatio_treaty.txt","treaty-checker/expected/TC-007_expected.json",false
"TC-008","Paris Agreement (2015)","Central Bank Order, 1972 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-008_paris-agreement-2015-vs-central-bank-order-1972-sy_treaty.txt","treaty-checker/expected/TC-008_expected.json",false
"TC-009","Paris Agreement (2015)","Diplomatic Privileges Act, 1965 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-009_paris-agreement-2015-vs-diplomatic-privileges-act-_treaty.txt","treaty-checker/expected/TC-009_expected.json",false
"TC-010","Paris Agreement (2015)","Emergency Powers Rules, 2007 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-010_paris-agreement-2015-vs-emergency-powers-rules-200_treaty.txt","treaty-checker/expected/TC-010_expected.json",false
"TC-011","UN Convention on the Law of the Sea (UNCLOS)","National Environment Conservation Act, 1995 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-011_un-convention-on-the-law-of-the-sea-unclos-vs-nati_treaty.txt","treaty-checker/expected/TC-011_expected.json",false
"TC-012","UN Convention on the Law of the Sea (UNCLOS)","National Climate Change Strategy and Action Plan, 2009 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-012_un-convention-on-the-law-of-the-sea-unclos-vs-nati_treaty.txt","treaty-checker/expected/TC-012_expected.json",false
"TC-013","UN Convention on the Law of the Sea (UNCLOS)","Children Protection Act, 2013 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-013_un-convention-on-the-law-of-the-sea-unclos-vs-chil_treaty.txt","treaty-checker/expected/TC-013_expected.json",false
"TC-014","UN Convention on the Law of the Sea (UNCLOS)","National Labour Act, 2006 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-014_un-convention-on-the-law-of-the-sea-unclos-vs-nati_treaty.txt","treaty-checker/expected/TC-014_expected.json",false
"TC-015","UN Convention on the Law of the Sea (UNCLOS)","Anti-Corruption Commission Act, 2004 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-015_un-convention-on-the-law-of-the-sea-unclos-vs-anti_treaty.txt","treaty-checker/expected/TC-015_expected.json",false
"TC-016","UN Convention on the Law of the Sea (UNCLOS)","Women and Children Protection Act, 2000 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-016_un-convention-on-the-law-of-the-sea-unclos-vs-wome_treaty.txt","treaty-checker/expected/TC-016_expected.json",false
"TC-017","UN Convention on the Law of the Sea (UNCLOS)","Foreign Exchange Regulation Act, 1947 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-017_un-convention-on-the-law-of-the-sea-unclos-vs-fore_treaty.txt","treaty-checker/expected/TC-017_expected.json",false
"TC-018","UN Convention on the Law of the Sea (UNCLOS)","Central Bank Order, 1972 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-018_un-convention-on-the-law-of-the-sea-unclos-vs-cent_treaty.txt","treaty-checker/expected/TC-018_expected.json",false
"TC-019","UN Convention on the Law of the Sea (UNCLOS)","Diplomatic Privileges Act, 1965 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-019_un-convention-on-the-law-of-the-sea-unclos-vs-dipl_treaty.txt","treaty-checker/expected/TC-019_expected.json",false
"TC-020","UN Convention on the Law of the Sea (UNCLOS)","Emergency Powers Rules, 2007 [SYNTH]","treaty-checker/inputs/txt/treaty/TC-020_un-convention-on-the-law-of-the-sea-unclos-vs-emer_treaty.txt","treaty-checker/expected/TC-020_expected.json",false
"TC-FAIL-001","INVALID-INSTRUMENT-XYZ","National Environment Conservation Act, 1995 [SYNTH]","TC-FAIL-001_fail.txt","TC-FAIL-001_expected.json",true
"TC-FAIL-002","Paris Agreement (2015)","BLANK-LAW-TEXT","TC-FAIL-002_fail.txt","TC-FAIL-002_expected.json",true
"TC-FAIL-003","","","TC-FAIL-003_fail.txt","TC-FAIL-003_expected.json",true
